,Spikes_hourly
2021-07-09 10:00:00,68.97404202719407
2021-07-09 11:00:00,110.42944785276073
2021-07-09 12:00:00,86.33575013943113
2021-07-09 13:00:00,49.17758572623362
2021-07-09 14:00:00,61.22107610816839
2021-07-09 15:00:00,43.167875069715556
2021-07-09 16:00:00,160.62465142219745
2021-07-09 17:00:00,262.01896263245953
2021-07-09 18:00:00,178.64510733203235
2021-07-09 19:00:00,162.67782426778243
2021-07-09 20:00:00,172.62336214106494
2021-07-09 21:00:00,183.66322832450516
2021-07-09 22:00:00,97.37869492470719
2021-07-09 23:00:00,307.10900473933646
2021-07-10 00:00:00,163.59074435461386
2021-07-10 01:00:00,203.84937238493723
2021-07-10 02:00:00,192.74958170663692
2021-07-10 03:00:00,119.43127962085308
2021-07-10 04:00:00,186.7261572783045
2021-07-10 05:00:00,210.8786610878661
2021-07-10 06:00:00,170.66369213608476
2021-07-10 07:00:00,343.2394758851408
2021-07-10 08:00:00,205.74296069138555
2021-07-10 09:00:00,90.32617786451074
2021-07-10 10:00:00,259.0072504182933
2021-07-10 11:00:00,87.33965421081986
2021-07-10 12:00:00,324.35146443514645
2021-07-10 13:00:00,198.71759130192362
2021-07-10 14:00:00,136.5309537088678
2021-07-10 15:00:00,348.35471277189066
2021-07-10 16:00:00,159.57624756063564
2021-07-10 17:00:00,373.6607142857143
2021-07-10 18:00:00,222.80457206579314
2021-07-10 19:00:00,153.55450236966823
2021-07-10 20:00:00,202.78862242052426
2021-07-10 21:00:00,199.77691020635808
2021-07-10 22:00:00,128.46389740730413
2021-07-10 23:00:00,183.81696428571428
2021-07-11 00:00:00,171.6675962074735
2021-07-11 01:00:00,137.61160714285714
2021-07-11 02:00:00,127.49581706636921
2021-07-11 03:00:00,331.19598550320603
2021-07-11 04:00:00,193.6994703094508
2021-07-11 05:00:00,108.42163970998327
2021-07-11 06:00:00,193.6994703094508
2021-07-11 07:00:00,114.54088752442088
2021-07-11 08:00:00,98.38259899609592
2021-07-11 09:00:00,200.72483969891275
2021-07-11 10:00:00,307.1090047393365
2021-07-11 11:00:00,150.5856107083101
2021-07-11 12:00:00,227.07228579402738
2021-07-11 13:00:00,230.9623430962343
2021-07-11 14:00:00,111.40228603289657
2021-07-11 15:00:00,215.7792026763312
2021-07-11 16:00:00,240.93697713329612
2021-07-11 17:00:00,225.8154446612768
2021-07-11 18:00:00,134.52314556609036
2021-07-11 19:00:00,141.08772253567736
2021-07-11 20:00:00,147.65229950526438
2021-07-11 21:00:00,154.21687647485138
2021-07-11 22:00:00,160.7814534444384
2021-07-11 23:00:00,167.3460304140254
2021-07-12 00:00:00,173.9106073836124
2021-07-12 01:00:00,180.47518435319938
2021-07-12 02:00:00,187.0397613227864
2021-07-12 03:00:00,193.60433829237343
2021-07-12 04:00:00,200.16891526196042
2021-07-12 05:00:00,206.73349223154742
2021-07-12 06:00:00,213.2980692011344
2021-07-12 07:00:00,219.86264617072143
2021-07-12 08:00:00,226.42722314030843
