cow,date,hour,WALK,SLEEP,EAT,ACTIVITY_LEVEL,A,B,B2,B3,B4,C,D,E,F,F2,OK
2007163,2015-03-02,1,185.517000,3414.482000,0.000000,-755.648140,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,2,0.000000,3599.999000,0.000000,-827.999770,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,3,10.661000,3589.338000,0.000000,-823.841980,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,4,43.800000,3556.199000,0.000000,-810.917770,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,5,17.167000,3582.832000,0.000000,-821.304640,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,6,1313.335000,509.689000,1776.975000,839.234630,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,7,153.857000,0.000000,3446.142000,1471.996760,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,8,450.335000,365.718000,2780.390000,1155.702260,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,9,2627.864000,195.151000,776.984000,701.906790,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,10,1222.628000,273.509000,2099.134000,1014.349690,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,11,439.437000,1276.548000,1884.014000,567.989760,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,12,425.763000,2353.280000,813.856000,-131.312800,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,13,117.726000,1735.951000,1746.322000,353.022670,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,14,300.151000,0.000000,3299.848000,1433.960320,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,15,2674.217000,889.699000,36.083000,238.398810,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,16,706.747000,34.920000,2858.332000,1305.547360,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,17,44.955000,0.000000,3555.044000,1500.311280,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,18,34.895000,0.000000,3565.104000,1502.926880,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,19,399.289000,2496.764000,695.666000,-218.189760,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,20,21.281000,3578.718000,0.000000,-819.700180,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,21,431.525000,318.039000,2850.435000,1193.077730,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,22,423.649000,3045.686000,130.664000,-577.845060,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,23,0.000000,3599.999000,0.000000,-827.999770,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-02,24,947.136000,2509.267000,131.778000,-370.242890,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-03,1,504.702000,3095.297000,0.000000,-631.165990,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-03,2,65.590000,3534.409000,0.000000,-802.419670,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-03,3,49.535000,3550.464000,0.000000,-808.681120,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-03,4,1.848000,3598.151000,0.000000,-827.279050,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-03,5,5.905000,3594.094000,0.000000,-825.696820,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-03,6,1429.505000,454.387000,1716.107000,844.976730,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-03,7,468.761000,277.317000,2853.921000,1209.865670,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-03,8,67.990000,3532.009000,0.000000,-801.483670,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-03,9,1132.539000,1968.982000,498.478000,-62.298860,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-03,10,1386.231000,18.916000,2184.213000,1134.815740,0,0,0,0,0,0,1,0,0,0,0
2007163,2015-03-03,11,2587.931000,141.793000,870.275000,746.972070,0,0,0,0,0,0,1,0,0,0,0
