cow,date,hour,WALK,SLEEP,EAT,ACTIVITY_LEVEL,A,B,B2,B3,B4,C,D,E,F,F2,OK
10127,2013-10-03,1,581.222000,2301.833000,716.944000,-135.309590,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,2,3017.512000,582.487000,0.000000,348.829910,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,3,627.891000,2632.089000,340.019000,-362.109930,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,4,349.801000,3250.198000,0.000000,-691.577380,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,5,411.654000,2347.835000,840.510000,-121.123210,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,6,553.103000,0.000000,3046.896000,1368.192800,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,7,107.633000,2022.704000,1469.662000,169.257400,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,8,503.178000,3096.821000,0.000000,-631.760350,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,9,88.983000,3511.016000,0.000000,-793.296400,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,10,23.422000,3576.577000,0.000000,-818.865190,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,11,28.113000,3571.886000,0.000000,-817.035700,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,12,627.846000,2972.153000,0.000000,-583.139830,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,13,2369.153000,0.000000,1230.846000,896.019800,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,14,546.615000,77.418000,2975.966000,1319.557980,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,15,386.579000,67.937000,3145.483000,1367.329990,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,16,327.965000,3272.034000,0.000000,-700.093420,0,0,0,0,0,0,0,0,0,0,1
